UD; UDINE      ; TANGENZIALE OVEST 1    ; TANGENZIALE OVEST 1    ,  UDINE      ;" <img src=""img/loghi/AGIP.gif"" alt=""AGIP"" border=""0"">";  S;1,694;1,694
GO; GORIZIA    ; VIA LUNGO ISONZO ARGENTINA 36 ; VIA LUNGO ISONZO ARGENTINA 36 ,  GORIZIA    ;" <img src=""img/loghi/AGIP.gif"" alt=""AGIP"" border=""0"">";  S;1,693;1,693
UD; NIMIS      ; VIA UDINE 10           ; VIA UDINE 10           ,  NIMIS      ;" <img src=""img/loghi/AGIP.gif"" alt=""AGIP"" border=""0"">";  S;1,692;1,692
UD; PAGNACCO   ; FRAZ.PLAINO-VIA DEI BRAZZA'   ; FRAZ.PLAINO-VIA DEI BRAZZA'   ,  PAGNACCO   ;" <img src=""img/loghi/AGIP.gif"" alt=""AGIP"" border=""0"">";  S;1,692;1,692
UD; PRADAMANO  ; VIA UDINE 22           ; VIA UDINE 22           ,  PRADAMANO  ;" <img src=""img/loghi/AGIP.gif"" alt=""AGIP"" border=""0"">";  S;1,692;1,692
UD; UDINE      ; VIA CIVIDALE 357       ; VIA CIVIDALE 357       ,  UDINE      ;" <img src=""img/loghi/AGIP.gif"" alt=""AGIP"" border=""0"">";  S;1,692;1,692
TS; TRIESTE    ; VIA A.VALERIO 1        ; VIA A.VALERIO 1        ,  TRIESTE    ;" <img src=""img/loghi/AGIP.gif"" alt=""AGIP"" border=""0"">";  S;1,69;1,69
PN; FIUME VENETO           ; RACC. AUT. 16 KM 0+700 ; RACC. AUT. 16 KM 0+700 ,  FIUME VENETO           ;" <img src=""img/loghi/AGIP.gif"" alt=""AGIP"" border=""0"">";  S;1,69;1,69
UD; UDINE      ; VIA M.G. NOGARA 92     ; VIA M.G. NOGARA 92     ,  UDINE      ;" <img src=""img/loghi/AGIP.gif"" alt=""AGIP"" border=""0"">";  S;1,689;1,689
TS; TRIESTE    ; VIA D'ALVIANO 14       ; VIA D'ALVIANO 14       ,  TRIESTE    ;" <img src=""img/loghi/AGIP.gif"" alt=""AGIP"" border=""0"">";  S;1,689;1,689
GO; GORIZIA    ; VIA TRIESTE 179        ; VIA TRIESTE 179        ,  GORIZIA    ;" <img src=""img/loghi/AGIP.gif"" alt=""AGIP"" border=""0"">";  S;1,688;1,688
GO; RONCHI DEI LEGIONARI   ; SS 305 KM 14+075       ; SS 305 KM 14+075       ,  RONCHI DEI LEGIONARI   ;" <img src=""img/loghi/AGIP.gif"" alt=""AGIP"" border=""0"">";  S;1,688;1,688
PN; SACILE     ; VIA PEDRADA N.7        ; VIA PEDRADA N.7        ,  SACILE     ;" <img src=""img/loghi/AGIP.gif"" alt=""AGIP"" border=""0"">";  S;1,688;1,688
GO; ROMANS D'ISONZO        ; V.LE PALMANOVA SR 252 KM37+160; V.LE PALMANOVA SR 252 KM37+160,  ROMANS D'ISONZO        ;" <img src=""img/loghi/AGIP.gif"" alt=""AGIP"" border=""0"">";  S;1,683;1,683
UD; AIELLO     ; VIA MAMELI 11/C        ; VIA MAMELI 11/C        ,  AIELLO     ;" <img src=""img/loghi/AGIP.gif"" alt=""AGIP"" border=""0"">";  S;1,681;1,681
UD; MORTEGLIANO; BUIATTI 1  ; BUIATTI 1  ,  MORTEGLIANO;" <img src=""img/loghi/AGIP.gif"" alt=""AGIP"" border=""0"">";  S;1,679;1,679
UD; GEMONA DEL FRIULI      ; VIA BARIGLARIA 70      ; VIA BARIGLARIA 70      ,  GEMONA DEL FRIULI      ;" <img src=""img/loghi/AGIP.gif"" alt=""AGIP"" border=""0"">";  S;1,677;1,677
UD; RIVE D'ARCANO          ; VIA FAGAGNA 15         ; VIA FAGAGNA 15         ,  RIVE D'ARCANO          ;" <img src=""img/loghi/AGIP.gif"" alt=""AGIP"" border=""0"">";  S;1,677;1,677
UD; TARCENTO   ; VIA UDINE 28           ; VIA UDINE 28           ,  TARCENTO   ;" <img src=""img/loghi/AGIP.gif"" alt=""AGIP"" border=""0"">";  S;1,677;1,677
UD; FAGAGNA    ; VIA SAN VITO N 7       ; VIA SAN VITO N 7       ,  FAGAGNA    ;" <img src=""img/loghi/AGIP.gif"" alt=""AGIP"" border=""0"">";  S;1,672;1,672
UD; MARTIGNACCO; VIA BARDELLI 4         ; VIA BARDELLI 4         ,  MARTIGNACCO;" <img src=""img/loghi/AGIP.gif"" alt=""AGIP"" border=""0"">";  S;1,672;1,672
PN; ARBA; SS 464 KM 7+592        ; SS 464 KM 7+592        ,  ARBA;" <img src=""img/loghi/AGIP.gif"" alt=""AGIP"" border=""0"">";  S;1,672;1,672
PN; S. VITO AL TAGLIAMENTO ; VIALE DEL MATTINO 1    ; VIALE DEL MATTINO 1    ,  S. VITO AL TAGLIAMENTO ;" <img src=""img/loghi/AGIP.gif"" alt=""AGIP"" border=""0"">";  S;1,672;1,672
PN; BRUGNERA   ; VIA UNGARESCA 30       ; VIA UNGARESCA 30       ,  BRUGNERA   ;" <img src=""img/loghi/AGIP.gif"" alt=""AGIP"" border=""0"">";  S;1,67;1,67
